inputs,,,,,,,,,,,outputs,,,,,,,,,,,,,,,,,,
,,funct3,,,opcode,,,,,,,,,,,,,,,,,,,,,,,,
ins,i30,i14,i13,i12,i6,i5,i4,i3,i2,ibin,pcwen,storesel1,storesel0,memwen,lsel2,lsel1,lsel0,wbsel,as3,as2,as1,as0,regwen,is2,is1,is0,bsel,asel,obin
add,0,0,0,0,0,1,1,0,0,000001100,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,000000010000100000
sub,1,0,0,0,0,1,1,0,0,100001100,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,000000011000100000
or,0,1,1,0,0,1,1,0,0,011001100,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,000000010110100000
and,0,1,1,1,0,1,1,0,0,011101100,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,000000010111100000
xor,0,1,0,0,0,1,1,0,0,010001100,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,000000010100100000
sll,0,0,0,1,0,1,1,0,0,000101100,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,000000010001100000
srl,0,1,0,1,0,1,1,0,0,010101100,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,000000010101100000
sra,1,1,0,1,0,1,1,0,0,110101100,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,000000011101100000
slt,0,0,1,0,0,1,1,0,0,001001100,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,000000010010100000
sltu,0,0,1,1,0,1,1,0,0,001101100,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,000000010011100000
addi,0,0,0,0,0,0,1,0,0,000000100,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,000000010000100010
xori,0,1,0,0,0,0,1,0,0,010000100,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,000000010100100010
ori,0,1,1,0,0,0,1,0,0,011000100,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,000000010110100010
andi,0,1,1,1,0,0,1,0,0,011100100,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,000000010111100010
slli,0,0,0,1,0,0,1,0,0,000100100,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,000000010001100010
srli,0,1,0,1,0,0,1,0,0,010100100,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,000000010101100010
srai,1,1,0,1,0,0,1,0,0,110100100,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,000000011101100010
slti,0,0,1,0,0,0,1,0,0,001000100,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,000000010010100010
sltiu,0,0,1,1,0,0,1,0,0,001100100,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,000000010011100010
lb,0,0,0,0,0,0,0,0,0,000000000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,000000000000100010
lh,0,0,0,1,0,0,0,0,0,000100000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,000000100000100010
lw,0,0,1,0,0,0,0,0,0,001000000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,000001000000100010
lbu,0,1,0,0,0,0,0,0,0,010000000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,000010000000100010
lhb,0,1,0,1,0,0,0,0,0,010100000,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,000010100000100010
sw,0,0,1,0,0,1,0,0,0,001001000,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,010100010000000110
sb,0,0,0,0,0,1,0,0,0,000001000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,000100010000000110
sh,0,0,0,1,0,1,0,0,0,000101000,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,001100010000000110
jal,0,0,0,0,1,1,0,1,1,000011011,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,100000010000101111
jalr,0,0,0,0,1,1,0,0,1,000011001,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,000000010000100010
